INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,IS_DH,DESIG_GROUP
24,AMPARA,MAHAOYA BH,MO GYN & OBS,1,NO,MO GYN & OBS
25,AMPARA,MAHAOYA BH,MO MEDICINE,1,NO,MO Medicine
26,AMPARA,MAHAOYA BH,MO OPD/ETU,1,NO,MO OPD / ETU
27,AMPARA,MAHAOYA BH,MO SURGERY,1,NO,MO Surgery
28,AMPARA,PADIYATALAWA DH,MO,1,YES,MO
402,TRINCOMALEE,KINNIYABH,MO DIALYSIS,1,NO,MO Dialysis
403,TRINCOMALEE,KINNIYABH,MO PAEDIATRICS,1,NO,MO Paediatrics
412,TRINCOMALEE,TRINCOMALEE DGH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
413,TRINCOMALEE,TRINCOMALEE DGH,MO DERMATOLOGY,1,NO,MO Dermatology
414,TRINCOMALEE,TRINCOMALEE DGH,MO EYE,1,NO,MO Eye
415,TRINCOMALEE,TRINCOMALEE DGH,MO GU SURGERY,1,NO,MO Urology / GU
416,TRINCOMALEE,TRINCOMALEE DGH,SHO GYN & OBS,4,NO,SHO GYN & OBS
417,TRINCOMALEE,TRINCOMALEE DGH,SHO MEDICINE,1,NO,SHO Medicine
423,VAVUNIYA,VAVUNIYA DGH,MO ANAESTHESIA/ICU,2,NO,MO Anaesthesia / ICU
424,VAVUNIYA,VAVUNIYA DGH,MO CARDIOLOGY,4,NO,MO Cardiology
425,VAVUNIYA,VAVUNIYA DGH,MO NEPHROLOGY,1,NO,MO Nephrology
426,VAVUNIYA,VAVUNIYA DGH,MO OPD/ETU,1,NO,MO OPD / ETU
427,VAVUNIYA,IVAVUNIYA DGH,SHO SURGERY,1,NO,SHO Surgery
428,VAVUNIYA,IVAVUNIYA RDHS,MO RELIEF,1,NO,MO Relief
418,VAVUNIYA,CHEDDIKULAM BH,MO,2,NO,MO
419,VAVUNIYA,CHEDDIKULAM BH,MO NEPHROLOGY,1,NO,MO Nephrology
420,VAVUNIYA,ECHCHANKULAM PMCU,MO,1,NO,MO
422,VAVUNIYA,NERIYAKULAM DH,MO,1,YES,MO
102,BATTICALOA,VALAICHCHENA! BH,MO MEDICO LEGAL,1,NO,MO Medico Legal
103,BATTICALOA,VALAICHCHENAI BH,MO PAEDIATRICS,1,NO,MO Paediatrics
245,MANNAR,MANNAR DGH,MO ANAESTHESIA/ICU,2,NO,MO Anaesthesia / ICU
246,MANNAR,MANNAR DGH,MO BLOOD BANK,1,NO,MO Blood Bank
247,MANNAR,MANNAR DGH,MO DIALYSIS,1,NO,MO Dialysis
248,MANNAR,MANNAR DGH,MO ENT,4,NO,MO ENT
249,MANNAR,MANNAR DGH,MO GYN & OBS,4,NO,MO GYN & OBS
250,MANNAR,MANNAR DGH,MO MEDICINE,2,NO,MO Medicine
251,MANNAR,MANNAR DGH,MO OPD,1,NO,MO OPD / ETU
252,MANNAR,MANNAR DGH,MO ORTHOPAEDIC SURGERY,1,NO,MO Orthopaedic
253,MANNAR,MANNAR DGH,MO PAEDIATRICS,1,NO,MO Paediatrics
254,MANNAR,MANNAR DGH,MO RADIOLOGY,1,NO,MO Radiology
255,MANNAR,MANNAR DGH,MO SURGERY,1,NO,MO Surgery
256,MANNAR,MANNAR RDHS,MO RELIEF,1,NO,MO Relief
304,MULLAITIVU,MANKULAM BH,MO,1,NO,MO
305,MULLAITIVU,MANKULAM BH,MO REHABILITATION,2,NO,MO Rehabilitation
405,TRINCOMALEE,MUTHUR BH,MO MEDICINE,1,NO,MO Medicine
406,TRINCOMALEE,MUTHUR BH,MoO OPD/ETU,2,NO,MO OPD / ETU
407,TRINCOMALEE,MUTHUR BH,MO SURGERY,1,NO,MO Surgery
409,TRINCOMALEE,PULMODAI BH,MO,1,NO,MO
88,BATTICALOA,CHENKALADY DH,MO,1,YES,MO
219,KILINOCHCHI,KILINOCHCHI DGH,MO ANAESTHESIA,2,NO,MO Anaesthesia / ICU
220,KILINOCHCHI,KILINOCHCHI DGH,MO ETU,2,NO,MO OPD / ETU
221,KILINOCHCHI,KILINOCHCHI DGH,MO GYN & OBS,1,NO,MO GYN & OBS
222,KILINOCHCHI,KILINOCHCHI DGH,MoO OPD,2,NO,MO OPD / ETU
223,KILINOCHCHI,KILINOCHCHI DGH,MO ORTHOPAEDIC,1,NO,MO Orthopaedic
224,KILINOCHCHI,KILINOCHCHI DGH,MO RADIOLOGY,1,NO,MO Radiology
89,BATTICALOA,ERAVUR BH,MO GYN & OBS,1,NO,MO GYN & OBS
90,BATTICALOA,ERAVUR BH,MO MEDICINE,1,NO,MO Medicine
225,KILINOCHCHI,PALAI DH,MO,1,YES,MO
81,BATTICALOA,BATTICALOA TEACHING HOSPITAL,MO A&E,2,NO,MO A&E
82,BATTICALOA,BATTICALOA TEACHING HOSPITAL,MO BLOOD BANK,1,NO,MO Blood Bank
83,BATTICALOA,BATTICALOA TEACHING HOSPITAL,MO CARDIOLOGY,1,NO,MO Cardiology
84,BATTICALOA,BATTICALOA TEACHING HOSPITAL,MO ENDOCRINOLOGY,1,NO,MO Endocrinology
85,BATTICALOA,BATTICALOA TEACHING HOSPITAL,MO PICU,1,NO,MO ICU
86,BATTICALOA,BATTICALOA TEACHING HOSPITAL,SHO GYN & OBS,1,NO,SHO GYN & OBS
87,BATTICALOA,BATTICALOA TEACHING HOSPITAL,SHO SURGERY,1,NO,SHO Surgery
91,BATTICALOA,KALUWANCHIKUDY BH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
92,BATTICALOA,KALUWANCHIKUDY BH,MO ETU,1,NO,MO OPD / ETU
93,BATTICALOA,KALUWANCHIKUDY BH,MO PAEDIATRICS,1,NO,MO Paediatrics
95,BATTICALOA,KATTANKUDY BH,MO ETU,1,NO,MO OPD / ETU
96,BATTICALOA,KATTANKUDY BH,MO MEDICINE,1,NO,MO Medicine
99,BATTICALOA,MEERAVODAI DH,Mo,1,YES,MO
169,KALMUNAI,KALMUNAI NORTH BH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
170,KALMUNAI,KALMUNAI NORTH BH,MO BLOOD BANK,1,NO,MO Blood Bank
306,MULLAITIVU,MULLAITIVU DGH,MO,1,NO,MO
307,MULLAITIVU,MULLAITIVU DGH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
308,MULLAITIVU,MULLAITIVU DGH,MO BLOOD BANK,1,NO,MO Blood Bank
309,MULLAITIVU,MULLAITIVU DGH,MO GYN & OBS,1,NO,MO GYN & OBS
310,MULLAITIVU,MULLAITIVU DGH,MO MEDICO LEGAL,1,NO,MO Medico Legal
311,MULLAITIVU,MULLAITIVU DGH,MO PAEDIATRICS,1,NO,MO Paediatrics
312,MULLAITIVU,MULLAITIVU DGH,MO PBU,1,NO,MO PBU / SCBU
313,MULLAITIVU,MULLAITIVU DGH,MO PSYCHIATRY.,4,NO,MO Psychiatry
314,MULLAITIVU,MULLAITIVU DGH,MO SURGERY,1,NO,MO Surgery
98,BATTICALOA,MAVADIVAMBU VANTHARAMOOLAIDH,[MO,1,NO,MO
