INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,ESTIMATED_TRAVEL_TIME_HOURS,IS_DIFFICULT,IS_DH,DESIG_GROUP
117,GALLE,HALVITIGALA PMCU,MO,1,2.2,YES,NO,MO
231,KURUNEGALA,KATUPOTHA DH,MO,4,2.2,NO,YES,MO
233,KURUNEGALA,KULIYAPITIYA TEACHING HOSPITAL,MO PBU/ PAEDIATICS,1,2.2,NO,NO,MO PBU / SCBU
388,RATNAPURA,POTHUPITIYA DH,Mo,1,2.2,YES,YES,MO
121,GALLE,UDUGAMA BH,MO ANAESTHESIA/ICU,1,2.3,NO,NO,MO Anaesthesia / ICU
122,GALLE,UDUGAMA 8H,MO GYN & OBS,1,2.3,NO,NO,MO GYN & OBS
125,HAMBANTOTA,BELIATTE DH,Mo,1,2.3,NO,YES,MO
227,KURUNEGALA,DAMBADENIYA BH,MO PAEDIATRICS,1,2.3,NO,NO,MO Paediatrics
134,HAMBANTOTA,TANGALLE BH,MO ANAESTHESIA,1,2.4,NO,NO,MO Anaesthesia / ICU
135,HAMBANTOTA,TANGALLE BH,MO ICU,1,2.4,NO,NO,MO Anaesthesia / ICU
138,HAMBANTOTA,WALASMULLA BH,MO ETU,1,2.4,NO,NO,MO OPD / ETU
139,HAMBANTOTA,WALASMULLA BH,MO PATHOLOGY,1,2.4,NO,NO,MO Pathology / Lab
210,KEGALLE,KARAWANELLA BH,MO ANAESTHESIA/ICU,1,2.4,NO,NO,MO Anaesthesia / ICU
211,KEGALLE,KARAWANELLA BH,MO GYN & OBS,1,2.4,NO,NO,MO GYN & OBS
212,KEGALLE,KARAWANELLA BH,MO SURGERY,1,2.4,NO,NO,MO Surgery
326,NUWARA ELIYA,KOTAGALA DH,MO,1,2.4,NO,YES,MO
327,NUWARA ELIYA,LINDULA DH,MO,1,2.4,NO,YES,MO
201,KANDY,PERADENIYA TEACHING HOSPITAL,MO ORTHOPAEDIC SURGERY,1,2.5,NO,NO,MO Orthopaedic
282,MATARA,PALLEGAMA DH,MO,1,2.5,NO,YES,MO
375,RATNAPURA,BALANGODA BH,MO ANAESTHESIA,1,2.5,NO,NO,MO Anaesthesia / ICU
376,RATNAPURA,BALANGODA BH,MO ETU,1,2.5,NO,NO,MO OPD / ETU
377,RATNAPURA,BALANGODA BH,MO MEDICO LEGAL,1,2.5,NO,NO,MO Medico Legal
133,HAMBANTOTA,RANNA DH,Mo.,1,2.6,NO,YES,MO
207,KANDY,WESTHALL DH,MO,1,2.6,YES,YES,MO
276,MATARA,DERANGALA PMCU,MO,1,2.6,YES,NO,MO
283,MATARA,ROTAMBA PMCU,MO,1,2.6,YES,NO,MO
284,MATARA,URUBOKKA DH,MO,1,2.6,NO,YES,MO
322,NUWARA ELIYA,DICKOYA BH,MO OPD,1,2.6,NO,NO,MO OPD / ETU
323,NUWARA ELIYA,DICKOYA BH,SHO SURGERY,1,2.6,NO,NO,SHO Surgery
192,KANDY,KANDY NATIONAL HOSPITAL,MO NEPHROLOGY ICU,1,2.7,NO,NO,MO Anaesthesia / ICU
193,KANDY,KANDY NATIONAL HOSPITAL,IMO ORTHOPAEDIC SURGERY,1,2.7,NO,NO,MO Orthopaedic
194,KANDY,KANDY NATIONAL HOSPITAL,MO VASCULAR SURGERY,2,2.7,NO,NO,MO Vascular Surgery
195,KANDY,KANDY NATIONAL HOSPITAL,MO VITREO RETINAL,1,2.7,NO,NO,MO Eye
379,RATNAPURA,EMBILIPITIYA DGH,MO ETU,1,2.7,NO,NO,MO OPD / ETU
380,RATNAPURA,EMBILIPITIYA DGH,MO PAEDIATRICS,1,2.7,NO,NO,MO Paediatrics
381,RATNAPURA,EMBILIPITIYA DGH,MO VP OPD,1,2.7,NO,NO,MO OPD / ETU
395,RATNAPURA,WELKENIYAYA PMCU,Mo,1,2.7,NO,NO,MO
191,KANDY,GAMPOLA BH,MO PBU,1,2.8,NO,NO,MO PBU / SCBU
274,MATARA,DENIYAYA BH,MO GYN & OBS,1,2.8,NO,NO,MO GYN & OBS
275,MATARA,DENIYAYA BH,MO PAEDIATRICS,1,2.8,NO,NO,MO Paediatrics
330,NUWARA ELIYA,NUWARA ELIYA DGH,MO A&E,1,2.8,NO,NO,MO A&E
331,NUWARA ELIYA,NUWARA ELIYA DGH,MO ANAESTHESIA,1,2.8,NO,NO,MO Anaesthesia / ICU
332,NUWARA ELIYA,NUWARA ELIYA DGH,MO GU SURGERY,1,2.8,NO,NO,MO Urology / GU
333,NUWARA ELIYA,NUWARA ELIYA DGH,MO MICU,1,2.8,NO,NO,MO ICU
334,NUWARA ELIYA,NUWARA ELIYA DGH,MO ONCOLOGY,1,2.8,NO,NO,MO Oncology
335,NUWARA ELIYA,NUWARA ELIYA DGH,MO OPD,1,2.8,NO,NO,MO OPD / ETU
336,NUWARA ELIYA,NUWARA ELIYA DGH,MO PBU,1,2.8,NO,NO,MO PBU / SCBU
127,HAMBANTOTA,HAMBANTOTA DGH,MO ANAESTHESIA,1,2.9,NO,NO,MO Anaesthesia / ICU
128,HAMBANTOTA,HAMBANTOTA DGH,MO HAEMATOLOGY,1,2.9,NO,NO,MO Pathology / Lab
129,HAMBANTOTA,HAMBANTOTA DGH,MO MICROBIOLOGY,1,2.9,NO,NO,MO Pathology / Lab
130,HAMBANTOTA,HAMBANTOTA DGH,MO NICU,1,2.9,NO,NO,MO ICU
131,HAMBANTOTA,HAMBANTOTA DGH,MO PSYCHIATRY,1,2.9,NO,NO,MO Psychiatry
132,HAMBANTOTA,HAMBANTOTA DGH,SHO SURGERY,1,2.9,NO,NO,SHO Surgery
196,KANDY,KOLONGODA DH,MO,1,2.9,NO,YES,MO
382,RATNAPURA,KAHAWATTA BH,MO EYE,1,2.9,NO,NO,MO Eye
383,RATNAPURA,KAHAWATTA BH,MO RADIOLOGY,1,2.9,NO,NO,MO Radiology
126,HAMBANTOTA,BERALIHERA PMCU,Mo,1,3.0,YES,NO,MO
198,KANDY,MENIKHINNA DH,MO,1,3.0,NO,YES,MO
202,KANDY,RAMBUKEWELA PMCU,MO,1,3.0,NO,NO,MO
206,KANDY,UDUNUWARA MOH,AMOH,1,3.0,NO,NO,AMOH
239,KURUNEGALA,NIKAWERATIYA BH,SHO SURGERY,1,3.0,NO,NO,SHO Surgery
387,RATNAPURA,PALAMKOTTE DH,Mo,1,3.0,YES,YES,MO
119,GALLE,LANKAGAMA PMCU,MO,1,3.1,YES,NO,MO
264,MATALE,DAMBULLA BH,MO EYE,1,3.1,NO,NO,MO Eye
265,MATALE,DAMBULLA BH,ISHO PAEDIATRIC,1,3.1,NO,NO,MO Paediatrics
320,NUWARA ELIYA,AGARAPATHANA DH,MO,2,3.1,YES,YES,MO
338,NUWARA ELIYA,RIKILLAGASKADA BH,MO ETU,1,3.1,NO,NO,MO OPD / ETU
340,NUWARA ELIYA,UPCOT PMCU,MO,1,3.1,YES,NO,MO
367,PUTTALAM,TPUTTALAM BH,MO MEDICINE i,2,3.1,NO,NO,MO Medicine
368,PUTTALAM,PUTTALAM BH,MO MEDICO LEGAL,1,3.1,NO,NO,MO Medico Legal
369,PUTTALAM,PUTTALAM BH,MO RADIOLOGY,1,3.1,NO,NO,MO Radiology
370,PUTTALAM,PUTTALAM BH,SHO PAEDIATRICS,1,3.1,NO,NO,SHO Paediatrics
371,PUTTALAM,PUTTALAM CHEST,CLINIC MO CHEST CLINIC,1,3.1,NO,NO,MO
373,RATNAPURA,[ALUPOLA DH,Mo,1,3.1,YES,YES,MO
66,BADULLA,DAMBETENNA DH,MO,1,3.2,NO,YES,MO
136,HAMBANTOTA,THISSAMAHARAMAYA BH,SHO GYN & OBS,1,3.2,NO,NO,SHO GYN & OBS
137,HAMBANTOTA,THISSAMAHARAMAYA BH,SHO PAEDIATRICS,1,3.2,NO,NO,SHO Paediatrics
199,KANDY,MORAHENA DH,MO 3,1,3.2,YES,YES,MO
200,KANDY,PATTIYAGAMA PALLEGAMA DH,MO,1,3.2,NO,YES,MO
269,MATALE,MATALE DGH,SHO MEDICINE,2,3.2,NO,NO,SHO Medicine
270,MATALE,MATALE DGH,SHO SURGERY,1,3.2,NO,NO,SHO Surgery
271,MATALE,MATALE RDHS,. MO RELIEF,1,3.2,NO,NO,MO Relief
329,NUWARA ELIYA,NORTH MEDAKUMBURA DH,MO,1,3.2,YES,YES,MO
337,NUWARA ELIYA,RAMBODA KOTMALE DH,MO,1,3.2,NO,YES,MO
70,BADULLA,GLANMORE DH,MO,1,3.3,NO,YES,MO
204,KANDY,THELDENIYA BH,MO OPD,2,3.3,NO,NO,MO OPD / ETU
34,ANURADHAPURA,ANDIYAGALA DH,MO,1,3.4,YES,YES,MO
237,KURUNEGALA,MAHAGIRILLA DH,MO,2,3.4,NO,YES,MO
321,NUWARA ELIYA,DAYAGAMA WEST DH,MO,1,3.4,YES,YES,MO
341,NUWARA ELIYA,WALAPANE DH,MO,1,3.4,NO,YES,MO
324,NUWARA ELIYA,GONAPITIYA DH,MO,1,3.5,YES,YES,MO
360,PUTTALAM,ANAWILUNDAWA DH,MO,1,3.5,NO,YES,MO
203,KANDY,SANGARAJAPURA DH,MO,1,3.6,NO,YES,MO
272,MATALE,OPALGALA PMCU,MO,1,3.6,YES,NO,MO
290,MONERAGALA,HAMBEGAMUWA DH,MO.,1,3.6,YES,YES,MO
292,MONERAGALA,KATHARAGAMA DH,MO,1,3.6,NO,YES,MO
46,ANURADHAPURA,KEKIRAWA BH,MO,1,3.7,NO,NO,MO
65,BADULLA,BANDARAWELA BH,MO ETU,2,3.7,NO,NO,MO OPD / ETU
228,KURUNEGALA,GALGAMUWA BH,MO ANAESTHESIA/ ICU,1,3.7,NO,NO,MO Anaesthesia / ICU
229,KURUNEGALA,GALGAMUWA BH,MO MEDICINE,1,3.7,NO,NO,MO Medicine
230,KURUNEGALA,GALGAMUWA BH,MO OPD/ETU,1,3.7,NO,NO,MO OPD / ETU
243,KURUNEGALA,USGALA SIYABALANGAMUWA PMCU,MO,1,3.7,YES,NO,MO
240,KURUNEGALA,NIKAWEWA DH,MO,1,3.8,NO,YES,MO
366,PUTTALAM,MUNDALAMA MOH,AMOH,1,3.8,NO,NO,AMOH
71,BADULLA,KEPPETIPOLA PMCU,MO,1,3.9,NO,NO,MO
78,BADULLA,WELIMADA BH,MO,1,3.9,NO,NO,MO
79,BADULLA,WELIMADA BH,MO MEDICINE,2,3.9,NO,NO,MO Medicine
80,BADULLA,WELIMADA BH,MO PAEDIATRICS,1,3.9,NO,NO,MO Paediatrics
241,KURUNEGALA,PAHALAGIRIBAWA DH,MO,1,3.9,YES,YES,MO
48,ANURADHAPURA,MEDAWACHCHIYA BH,MO,1,4.0,NO,NO,MO
53,ANURADHAPURA,THAMBUTTEGAMA BH,MO ETU,1,4.0,NO,NO,MO OPD / ETU
54,ANURADHAPURA,THAMBUTTEGAMA BH,MO OPD,1,4.0,NO,NO,MO OPD / ETU
55,ANURADHAPURA,THAMBUTTEGAMA BH,MO PBU,2,4.0,NO,NO,MO PBU / SCBU
56,ANURADHAPURA,THAMBUTTEGAMA BH,SHO SURGERY,1,4.0,NO,NO,SHO Surgery
364,PUTTALAM,KOTTUKACHCHIYA DH,MO,1,4.0,NO,YES,MO
67,BADULLA,DIYATHALAWA BH,MO ANAESTHESIA,1,4.1,NO,NO,MO Anaesthesia / ICU
68,BADULLA,DIYATHALAWA BH,MO GYN & OBS,1,4.1,NO,NO,MO GYN & OBS
242,KURUNEGALA,RAJANGANAYA DH,MO,1,4.2,YES,YES,MO
289,MONERAGALA,BUTHTHALA DH,MO,1,4.2,NO,YES,MO
45,ANURADHAPURA,HABARANA DH,MO,1,4.3,NO,YES,MO
266,MATALE,HATTOTA AMUNA DH,MO,1,4.3,YES,YES,MO
273,MATALE,YATAWATHTHA DH,MO,4,4.3,NO,YES,MO
325,NUWARA ELIYA,KALAGANWATTA PMCU,MO,1,4.3,YES,NO,MO
339,NUWARA ELIYA,RUPAHA PMCU,MO,1,4.3,YES,NO,MO
59,BADULLA,BADULLA TEACHING HOSPITAL,MO ENT,1,4.4,NO,NO,MO ENT
60,BADULLA,BADULLA TEACHING HOSPITAL,MO NEUROLOGY,1,4.4,NO,NO,MO Neurology / Neurosurgery
61,BADULLA,BADULLA TEACHING HOSPITAL,MO ONCO SURGERY,1,4.4,NO,NO,MO Oncology
62,BADULLA,BADULLA TEACHING HOSPITAL,SHO MEDICINE,1,4.4,NO,NO,SHO Medicine
63,BADULLA,BADULLA TEACHING HOSPITAL,SHO PAEDIATRICS,2,4.4,NO,NO,SHO Paediatrics
64,BADULLA,BADULLA TEACHING HOSPITAL,SHO SURGERY,1,4.4,NO,NO,SHO Surgery
205,KANDY,UDAGAMA ATABAGE DH,MO,2,4.4,NO,YES,MO
267,MATALE,LAGGALA PALLEGAMA MOH,AMOH,1,4.4,NO,NO,AMOH
294,MONERAGALA,MONERAGALA DGH,MO ANAESTHESIA,2,4.4,NO,NO,MO Anaesthesia / ICU
295,MONERAGALA,MONERAGALA DGH,MO ENT,1,4.4,NO,NO,MO ENT
296,MONERAGALA,MONERAGALA DGH,MO GU SURGERY,1,4.4,NO,NO,MO Urology / GU
297,MONERAGALA,MONERAGALA RDHS,MO RELIEF,1,4.4,NO,NO,MO Relief
328,NUWARA ELIYA,MULOYA DH,MO,1,4.4,YES,YES,MO
35,ANURADHAPURA,ANURADHAPURA RDHS,MO RELIEF,1,4.5,NO,NO,MO Relief
36,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO ANAESTHESIA,3,4.5,NO,NO,MO Anaesthesia / ICU
37,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO CARDIOLOGY,1,4.5,NO,NO,MO Cardiology
38,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO ETU,1,4.5,NO,NO,MO OPD / ETU
39,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO NEURO SURGERY ICU,1,4.5,NO,NO,MO Neurology / Neurosurgery
40,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PAEDIATRIC SURGERY,1,4.5,NO,NO,MO Surgery
41,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PATHOLOGY,1,4.5,NO,NO,MO Pathology / Lab
42,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PBU/NICU,1,4.5,NO,NO,MO ICU
43,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,SHO GYN & OBS,1,4.5,NO,NO,SHO GYN & OBS
44,ANURADHAPURA,GALNEWA DH,MO,1,4.5,NO,YES,MO
49,ANURADHAPURA,NOCHCHIYAGAMA DH,MO,1,4.5,NO,YES,MO
57,ANURADHAPURA,THANTIRIMALE DH,MO,1,4.5,YES,YES,MO
73,BADULLA,MAHIYANGANAYA BH,MO ANAESTHESIA,2,4.5,NO,NO,MO Anaesthesia / ICU
263,MATALE,ALUTHWEWA PMCU,MO,1,4.5,YES,NO,MO
348,POLONNARUWA,POLONNARUWA DGH,MO A&E,1,4.5,NO,NO,MO A&E
349,POLONNARUWA,POLONNARUWA DGH,MO MICROBIOLOGY,1,4.5,NO,NO,MO Pathology / Lab
350,POLONNARUWA,POLONNARUWA DGH,MO RADIOLOGY,1,4.5,NO,NO,MO Radiology
351,POLONNARUWA,POLONNARUWA DGH,MO SICU,1,4.5,NO,NO,MO ICU
352,POLONNARUWA,POLONNARUWA DGH,MO UROLOGY,1,4.5,NO,NO,MO Urology / GU
353,POLONNARUWA,POLONNARUWA DGH,SHO SURGERY,1,4.5,NO,NO,SHO Surgery
354,POLONNARUWA,POLONNARUWA RDHS,MO RELIEF,1,4.5,NO,NO,MO Relief
355,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO NEPHROLOGY,1,4.5,NO,NO,MO Nephrology
356,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO PAEDIATRIC NEPHROLOGY,1,4.5,NO,NO,MO Paediatrics
357,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO VASCULAR & TRANSPLANT,1,4.5,NO,NO,MO Vascular Surgery
77,BADULLA,UVA PARANAGAMA DH,MO,1,4.6,NO,YES,MO
397,TRINCOMALEE,KANTALE BH,MO ANAESTHESIA,1,4.6,NO,NO,MO Anaesthesia / ICU
398,TRINCOMALEE,KANTALE 8H,MO MEDICINE,1,4.6,NO,NO,MO Medicine
399,TRINCOMALEE,KANTALE BH,MO OPD/ETU,1,4.6,NO,NO,MO OPD / ETU
400,TRINCOMALEE,KANTALE BH,MO PAEDIATRICS,1,4.6,NO,NO,MO Paediatrics
74,BADULLA,NADUMGAMUWA DH,MO,1,4.7,NO,YES,MO
188,KANDY,AAMBAGAHAPELESSA DH,MO,1,4.7,YES,YES,MO
189,KANDY,BATUMULLA DH,MO,1,4.8,YES,YES,MO
190,KANDY,GALPIHILLA DH,MO,1,4.8,NO,YES,MO
197,KANDY,MEEMURE PMCU,MO,1,4.8,YES,NO,MO
342,POLONNARUWA,ARALAGANWILA DH,MO,1,4.9,NO,YES,MO
343,POLONNARUWA,ATHTHANAKADAWALA DH,MO,1,4.9,NO,YES,MO
344,POLONNARUWA,DIMBULAGALA MANAMPITIYA DH,MO,1,4.9,NO,YES,MO
345,POLONNARUWA,MEDIRIGIRIYA BH,MO ANAESTHESIA/ICU,2,4.9,NO,NO,MO Anaesthesia / ICU
346,POLONNARUWA,MEDIRIGIRIYA BH,MO NEPHROLOGY,1,4.9,NO,NO,MO Nephrology
347,POLONNARUWA,MEDIRIGIRIYA BH,MO PSYCHIATRY,1,4.9,NO,NO,MO Psychiatry
358,POLONNARUWA,PULASTHIGAMA (BOP 400) DH,MO,1,4.9,NO,YES,MO
72,BADULLA,LUNUGALA DH,MO,1,5.1,NO,YES,MO
359,POLONNARUWA,SEVANAPITIYA PMCU,MO,1,5.1,NO,NO,MO
69,BADULLA,GIRANDURUKOTTE DH,MO,4,5.2,NO,YES,MO
76,BADULLA,THENNAPANGUWA PMCU,MO,1,5.3,NO,NO,MO
58,ANURADHAPURA,WAHALKADA DH,MO,1,5.4,YES,YES,MO
268,MATALE,MARAKA DH,MO,1,5.4,YES,YES,MO
285,MONERAGALA,BIBILE BH,MO ANAESTHESIA/ ICU,1,5.4,NO,NO,MO Anaesthesia / ICU
286,MONERAGALA,BIBILE BH,MO ETU/ OPD,1,5.4,NO,NO,MO OPD / ETU
287,MONERAGALA,BIBILE BH,MO GYN & OBS,1,5.4,NO,NO,MO GYN & OBS
288,MONERAGALA,BIBILE BH,MO MEDICINE,1,5.4,NO,NO,MO Medicine
401,TRINCOMALEE,KILIVETTY OH,Mo,1,5.4,YES,NO,MO
404,TRINCOMALEE,MANALCHENAI PMCU,Mo,1,5.4,YES,NO,MO
23,AMPARA,LAHUGALA MOH,AMOH,1,5.5,YES,NO,AMOH
412,TRINCOMALEE,TRINCOMALEE DGH,MO ANAESTHESIA,1,5.5,NO,NO,MO Anaesthesia / ICU
413,TRINCOMALEE,TRINCOMALEE DGH,MO DERMATOLOGY,1,5.5,NO,NO,MO Dermatology
414,TRINCOMALEE,TRINCOMALEE DGH,MO EYE,1,5.5,NO,NO,MO Eye
415,TRINCOMALEE,TRINCOMALEE DGH,MO GU SURGERY,1,5.5,NO,NO,MO Urology / GU
416,TRINCOMALEE,TRINCOMALEE DGH,SHO GYN & OBS,4,5.5,NO,NO,SHO GYN & OBS
417,TRINCOMALEE,TRINCOMALEE DGH,SHO MEDICINE,1,5.5,NO,NO,SHO Medicine
423,VAVUNIYA,VAVUNIYA DGH,MO ANAESTHESIA/ICU,2,5.5,NO,NO,MO Anaesthesia / ICU
424,VAVUNIYA,VAVUNIYA DGH,MO CARDIOLOGY,4,5.5,NO,NO,MO Cardiology
425,VAVUNIYA,VAVUNIYA DGH,MO NEPHROLOGY,1,5.5,NO,NO,MO Nephrology
426,VAVUNIYA,VAVUNIYA DGH,MO OPD/ETU,1,5.5,NO,NO,MO OPD / ETU
427,VAVUNIYA,IVAVUNIYA DGH,SHO SURGERY,1,5.5,NO,NO,SHO Surgery
428,VAVUNIYA,IVAVUNIYA RDHS,MO RELIEF,1,5.5,NO,NO,MO Relief
75,BADULLA,RIDEEMALIYADDA MOH,AMOH,1,5.6,NO,NO,AMOH
402,TRINCOMALEE,KINNIYABH,MO DIALYSIS,1,5.6,NO,NO,MO Dialysis
403,TRINCOMALEE,KINNIYABH,MO PAEDIATRICS,1,5.6,NO,NO,MO Paediatrics
405,TRINCOMALEE,MUTHUR BH,MO MEDICINE,1,5.6,NO,NO,MO Medicine
406,TRINCOMALEE,MUTHUR BH,MoO OPD/ETU,2,5.6,NO,NO,MO OPD / ETU
407,TRINCOMALEE,MUTHUR BH,MO SURGERY,1,5.6,NO,NO,MO Surgery
31,AMPARA,ISENARATHPURA DH,MO MENTAL HEALTH,1,5.8,YES,YES,MO Mental Health
293,MONERAGALA,KOTIYAGALA PMCU,MO,1,5.8,YES,NO,MO
372,PUTTALAM,WANATHAWILLUWA DH,Mo,1,5.8,NO,YES,MO
422,VAVUNIYA,NERIYAKULAM DH,MO,1,5.8,NO,YES,MO
180,KALMUNAI,ULLAI PMCU,MO,1,5.9,YES,NO,MO
298,MONERAGALA,SIYAMBALANDUWA BH,MO,1,5.9,NO,NO,MO
299,MONERAGALA,SIYAMBALANDUWA BH,MO OPD/ETU,1,5.9,NO,NO,MO OPD / ETU
50,ANURADHAPURA,PADAVIYA BH,MO,2,6.0,NO,NO,MO
51,ANURADHAPURA,PADAVIYA BH,MO GYN & OBS,1,6.0,NO,NO,MO GYN & OBS
52,ANURADHAPURA,PADAVIYA BH,MO SURGERY,1,6.0,NO,NO,MO Surgery
410,TRINCOMALEE,SAMPOOR DH,MO,1,6.0,YES,YES,MO
97,BATTICALOA,MANDUR DH,Mo,1,6.1,YES,YES,MO
411,TRINCOMALEE,SERUWILA DH,MO,4,6.1,YES,YES,MO
88,BATTICALOA,CHENKALADY DH,MO,1,6.2,NO,YES,MO
98,BATTICALOA,MAVADIVAMBU VANTHARAMOOLAIDH,[MO,1,6.2,NO,NO,MO
291,MONERAGALA,INGINIYAGALA DH,MO,1,6.2,YES,YES,MO
